Group 1	Group 2	Sample size	Permutations	pseudo-F	p-value	q-value	Groups
G_2	R_2	15	999	0.8555104048674271	0.821	0.8362037037037037	G_2-R_2
G_3	R_3	19	999	0.9446152599816998	0.614	0.6494230769230769	G_3-R_3
G_4	R_4	17	999	0.8522141809440443	0.8640000000000001	0.8640000000000001	G_4-R_4
G_5	R_5	35	999	1.2567178849939986	0.039	0.04563829787234043	G_5-R_5
G_6	R_6	35	999	1.0720111002547412	0.272	0.2933333333333333	G_6-R_6
