Group 1	Group 2	Sample size	Permutations	pseudo-F	p-value	q-value	Groups
G_2	R_2	15	999	0.8331177481517175	0.8029999999999999	0.8178703703703705	G_2-R_2
G_3	R_3	19	999	0.9724056178150308	0.516	0.5457692307692308	G_3-R_3
G_4	R_4	17	999	1.0188852618521425	0.42100000000000004	0.4540196078431373	G_4-R_4
G_5	R_5	35	999	1.8090095722569663	0.005	0.0058510638297872355	G_5-R_5
G_6	R_6	35	999	1.0464063097933918	0.35700000000000004	0.4007142857142857	G_6-R_6
