Group 1	Group 2	Sample size	Permutations	pseudo-F	p-value	q-value	Groups
G_2	R_2	15	999	0.8624752837004497	0.639	0.639	G_2-R_2
G_3	R_3	19	999	1.1048574761407768	0.28300000000000003	0.2936792452830189	G_3-R_3
G_4	R_4	17	999	1.133096433813215	0.26	0.275	G_4-R_4
G_5	R_5	35	999	1.5008875557686197	0.037000000000000005	0.039901960784313725	G_5-R_5
G_6	R_6	35	999	2.4994190460007273	0.001	0.0013095238095238095	G_6-R_6
