Group 1	Group 2	Sample size	Permutations	pseudo-F	p-value	q-value	Groups
G_2	R_2	15	999	1.163730564104176	0.29600000000000004	0.30148148148148146	G_2-R_2
G_3	R_3	19	999	1.5399269920777765	0.098	0.10169811320754718	G_3-R_3
G_4	R_4	17	999	2.1567693610625334	0.009000000000000001	0.010760869565217393	G_4-R_4
G_5	R_5	35	999	2.5133888732298497	0.012	0.014042553191489364	G_5-R_5
G_6	R_6	35	999	4.623525561297353	0.001	0.0014473684210526314	G_6-R_6
