	niche	taxon	asv1	asv2	treedist
176	J2	Pseudomonas	61f58776	9be343a5	0.07112584026464051
177	J2	Pseudomonas	61f58776	3c7baf68	0.10046544343422968
178	J2	Pseudomonas	61f58776	cbdeb0c5	0.10909715604307514
179	J2	Pseudomonas	61f58776	108751f2	0.060241134079157536
180	J2	Pseudomonas	61f58776	1422b36f	0.06955290334616748
181	J2	Pseudomonas	61f58776	3696ffd6	0.06487905296641153
182	J2	Pseudomonas	61f58776	f2a5607c	0.06643162135305368
183	J2	Pseudomonas	85fa26d0	b8578b6d	0.05499539239150267
184	J2	Pseudomonas	85fa26d0	911f6d38	0.28916602551713333
185	J2	Pseudomonas	85fa26d0	aa7e11cb	0.05416393318934461
186	J2	Pseudomonas	85fa26d0	84ffc060	0.357768436967168
187	J2	Pseudomonas	85fa26d0	870f0dc4	0.1765381876694211
188	J2	Pseudomonas	85fa26d0	9be343a5	0.04750285941875431
189	J2	Pseudomonas	85fa26d0	3c7baf68	0.08821558766322907
190	J2	Pseudomonas	85fa26d0	cbdeb0c5	0.07394873699542132
191	J2	Pseudomonas	85fa26d0	108751f2	0.025092715031503694
192	J2	Pseudomonas	85fa26d0	1422b36f	0.04592992250028129
193	J2	Pseudomonas	85fa26d0	3696ffd6	0.041256072120525324
194	J2	Pseudomonas	85fa26d0	f2a5607c	0.042808640507167484
195	J2	Pseudomonas	b8578b6d	911f6d38	0.3316014357539276
196	J2	Pseudomonas	b8578b6d	aa7e11cb	0.09659934342613896
197	J2	Pseudomonas	b8578b6d	84ffc060	0.4002038472039622
198	J2	Pseudomonas	b8578b6d	870f0dc4	0.1844531564281674
199	J2	Pseudomonas	b8578b6d	9be343a5	0.020040107596207904
200	J2	Pseudomonas	b8578b6d	3c7baf68	0.11912555969825579
201	J2	Pseudomonas	b8578b6d	cbdeb0c5	0.11638414723221567
202	J2	Pseudomonas	b8578b6d	108751f2	0.06752812526829803
203	J2	Pseudomonas	b8578b6d	1422b36f	0.053844891259027715
204	J2	Pseudomonas	b8578b6d	3696ffd6	0.01379332029797892
205	J2	Pseudomonas	b8578b6d	f2a5607c	0.012192751887335361
206	J2	Pseudomonas	911f6d38	aa7e11cb	0.2900005631566329
207	J2	Pseudomonas	911f6d38	84ffc060	0.6061300741275409
208	J2	Pseudomonas	911f6d38	870f0dc4	0.45314423103184615
209	J2	Pseudomonas	911f6d38	9be343a5	0.3241089027811794
210	J2	Pseudomonas	911f6d38	3c7baf68	0.3648216310256542
211	J2	Pseudomonas	911f6d38	cbdeb0c5	0.2564893804845582
212	J2	Pseudomonas	911f6d38	108751f2	0.27345435219187664
213	J2	Pseudomonas	911f6d38	1422b36f	0.32253596586270633
214	J2	Pseudomonas	911f6d38	3696ffd6	0.3178621154829504
215	J2	Pseudomonas	911f6d38	f2a5607c	0.31941468386959254
216	J2	Pseudomonas	aa7e11cb	84ffc060	0.37112798179975204
217	J2	Pseudomonas	aa7e11cb	870f0dc4	0.2181421387040573
218	J2	Pseudomonas	aa7e11cb	9be343a5	0.08910681045339056
219	J2	Pseudomonas	aa7e11cb	3c7baf68	0.12981953869786533
220	J2	Pseudomonas	aa7e11cb	cbdeb0c5	0.07478327463492077
221	J2	Pseudomonas	aa7e11cb	108751f2	0.0384522598640878
222	J2	Pseudomonas	aa7e11cb	1422b36f	0.08753387353491754
223	J2	Pseudomonas	aa7e11cb	3696ffd6	0.08286002315516158
224	J2	Pseudomonas	aa7e11cb	f2a5607c	0.08441259154180375
225	J2	Pseudomonas	84ffc060	870f0dc4	0.5217466424818809
226	J2	Pseudomonas	84ffc060	9be343a5	0.3927113142312141
227	J2	Pseudomonas	84ffc060	3c7baf68	0.43342404247568883
228	J2	Pseudomonas	84ffc060	cbdeb0c5	0.39091278560582887
229	J2	Pseudomonas	84ffc060	108751f2	0.33267772193666445
230	J2	Pseudomonas	84ffc060	1422b36f	0.39113837731274104
231	J2	Pseudomonas	84ffc060	3696ffd6	0.38646452693298505
232	J2	Pseudomonas	84ffc060	f2a5607c	0.38801709531962725
233	J2	Pseudomonas	870f0dc4	9be343a5	0.17696062345541919
234	J2	Pseudomonas	870f0dc4	3c7baf68	0.2406683549761742
235	J2	Pseudomonas	870f0dc4	cbdeb0c5	0.23792694251013408
236	J2	Pseudomonas	870f0dc4	108751f2	0.1890709205462164
237	J2	Pseudomonas	870f0dc4	1422b36f	0.13061226517113997
238	J2	Pseudomonas	870f0dc4	3696ffd6	0.1707138361571902
239	J2	Pseudomonas	870f0dc4	f2a5607c	0.17226640454383235
240	J2	Pseudomonas	9be343a5	3c7baf68	0.1116330267255075
241	J2	Pseudomonas	9be343a5	cbdeb0c5	0.10889161425946739
242	J2	Pseudomonas	9be343a5	108751f2	0.060035592295549674
243	J2	Pseudomonas	9be343a5	1422b36f	0.046352358286279316
244	J2	Pseudomonas	9be343a5	3696ffd6	0.006250787300229109
245	J2	Pseudomonas	9be343a5	f2a5607c	0.007853355711872744
246	J2	Pseudomonas	3c7baf68	cbdeb0c5	0.149604342503942
247	J2	Pseudomonas	3c7baf68	108751f2	0.10074832054002442
248	J2	Pseudomonas	3c7baf68	1422b36f	0.11006008980703438
249	J2	Pseudomonas	3c7baf68	3696ffd6	0.10538623942727843
250	J2	Pseudomonas	3c7baf68	f2a5607c	0.10693880781392057
251	J2	Pseudomonas	cbdeb0c5	108751f2	0.05823706367016449
252	J2	Pseudomonas	cbdeb0c5	1422b36f	0.10731867734099425
253	J2	Pseudomonas	cbdeb0c5	3696ffd6	0.10264482696123828
254	J2	Pseudomonas	cbdeb0c5	f2a5607c	0.10419739534788044
255	J2	Pseudomonas	108751f2	1422b36f	0.05846265537707666
256	J2	Pseudomonas	108751f2	3696ffd6	0.05378880499732069
257	J2	Pseudomonas	108751f2	f2a5607c	0.055341373383962854
258	J2	Pseudomonas	1422b36f	3696ffd6	0.04010557098805036
259	J2	Pseudomonas	1422b36f	f2a5607c	0.041658139374692524
260	J2	Pseudomonas	3696ffd6	f2a5607c	0.001606568413643735
261	J2	Sphingobium	65f49c4f	3dcf0008	0.10947685538099687
262	J2	Sphingobium	65f49c4f	6f61f108	0.18573224919472606
263	J2	Sphingobium	65f49c4f	a3378306	0.16893504853268895
264	J2	Sphingobium	3dcf0008	6f61f108	0.07625939381572933
265	J2	Sphingobium	3dcf0008	a3378306	0.05946219315369222
266	J2	Sphingobium	6f61f108	a3378306	0.03553143380202434
267	J2	Rheinheimera	6db471c3	60163b83	0.1412798113497492
268	J2	Phenylobacterium	12b2400b	2844083d	0.31698097211487447
269	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cb98455b	7db384db	0.008270131418944235
270	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cb98455b	cbf8930f	0.1838667184218496
271	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cb98455b	df17a246	0.09798355715168704
272	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cb98455b	4afb1dd8	0.05251454781787091
273	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cb98455b	33b9d83d	0.09273405972274223
274	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cb98455b	2462a3af	0.06469491503400214
275	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	7db384db	cbf8930f	0.17560258700590556
276	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	7db384db	df17a246	0.089719425735743
277	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	7db384db	4afb1dd8	0.044250416401926854
278	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	7db384db	33b9d83d	0.08446992830679817
279	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	7db384db	2462a3af	0.05643078361805809
280	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	df17a246	0.16960395762374264
281	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	4afb1dd8	0.14717896919393803
282	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	33b9d83d	0.24163880765372825
283	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	cbf8930f	2462a3af	0.15502113462205558
284	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	4afb1dd8	0.06129580792377537
285	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	33b9d83d	0.15575564638356557
286	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	df17a246	2462a3af	0.06913797335189292
287	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	4afb1dd8	33b9d83d	0.11028663704974946
288	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	4afb1dd8	2462a3af	0.028007165806090473
289	J2	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	33b9d83d	2462a3af	0.12246700426588071
290	J2	Flavobacterium	bf571cf0	9bd291c2	0.39910091931554026
291	J2	Devosia	60335b6a	df7dcf8c	0.10223926872068534
292	J2	Microvirga	5e392f3a	1efcf894	0.23840672872804636
293	J2	Azospirillum	7d5abb13	85c46cbf	0.49916392850733415
294	J2	Azospirillum	7d5abb13	482a812e	0.08006789690855393
295	J2	Azospirillum	7d5abb13	45a0d14a	0.49130429591941754
296	J2	Azospirillum	7d5abb13	ed2e088a	0.29965547046920876
297	J2	Azospirillum	85c46cbf	482a812e	0.42396187297887766
298	J2	Azospirillum	85c46cbf	45a0d14a	0.03875968871689426
299	J2	Azospirillum	85c46cbf	ed2e088a	0.5845882832444069
300	J2	Azospirillum	482a812e	45a0d14a	0.41610224039096105
301	J2	Azospirillum	482a812e	ed2e088a	0.2244534149407523
302	J2	Azospirillum	45a0d14a	ed2e088a	0.5767286506564904
303	J2	Shinella	a6769890	c2f82d66	0.05038555853082114
304	J2	Shinella	a6769890	d11c10c8	0.06753012974974876
305	J2	Shinella	c2f82d66	d11c10c8	0.046823724705139375
306	J2	Pseudohongiella	8af2b025	b0889998	0.14452310414668726
307	J2	Microbacterium	ef7c32b6	1a6053b5	0.07044649877730748
308	J2	Microbacterium	ef7c32b6	43a086e5	0.07765181323242865
309	J2	Microbacterium	1a6053b5	43a086e5	0.11135139398176035
310	J2	Bacillus	41eed863	3bb45f21	0.00715016560093921
311	J2	Bacillus	41eed863	abb3aad9	0.08516923679915867
312	J2	Bacillus	3bb45f21	abb3aad9	0.07970859685467378
313	J2	Chryseobacterium	ccc1099c	3ab82855	0.12900419124409077
