	J_2	J_3	J_4	J_6
34			Aeromonas|25c7b08a0f814f89071b49547e3f59ec	Ensifer_meliloti|dda400cba713e16f0324d82bca281d50
35			Limnobacter_unc|163af248828cb0d642c647a560299cfb	Enterobacter|2f9897f76ee661670c822b40f1ccaabb
36			Noviherbaspirillum|a4c95c53c9b3b3c2e9642df601628d4f	Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d
37			Ramlibacter|677e5043be285a2ede58f6c08adb4735	Microbacterium|43a086e5d89b75b869c57f2fe87f59be
38			Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a	Saccharimonadales|3c6fa473b90e96415d1b7abd9cc5871f
39			Herpetosiphon_unc_b|4e0fa96e78a89ab1b0f52a7fd227e64b	Hydrogenophaga|3c6c8362ff4d0c568b9f5f39b8cd1acf
40			Actinotalea_unc_b|733cb5d4a05ab90fd739931e0da04eb3	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9
41			Pseudomonas|3696ffd62595f83285a8bfc01ad79778	
42			NS11-12_marine_group_unc|bf1915a98ca537fd08895d4aca8a3a25	
43			Azospirillum|ed2e088adb3ece33078a5beb57ee9d66	
44			Pseudohongiella|8af2b0252b9851ea80001e5d39997a66	
45			Devosia|df7dcf8cb945d5c3314f9a8521649875	
46			Burkholderiaceae|070afbbc1eb9010fba5ede213c6ae0c1	
47			Shinella|c2f82d66903303aa82f4f3ce74e3a10c	
48			Flavobacterium|9bd291c2297bb827fabc3b78eaa33ad1	
49			Pseudomonas|85fa26d02bd165db67fb00e9257246ac	
50			Methylophilaceae|c2e1abc65cb45aa6cb7b20a7477c6392	
51			Flavobacterium|bf571cf04559c8cdddfdb4e1aad49bc2	
52			Pseudomonas|8a326f42e038d21d9e6b4f597bf9aacd	
53			Microvirga|1efcf894789c2bdab5b97030185be003	
54			Beijerinckiaceae|139d0f3867700b0d7a970219bed336e3	
55			Methylobacillus|7fd3d9211e39ad9712ce066a38a77339	
56			metagenome|c68140d496219a370037a87fdedf1dab	
57			Microvirga|5e392f3a9e82a31546db60a2c854c787	
58			Hydrogenophaga_unc_b|46ce353c3817028d12d78374513d712c	
59			Longimicrobiaceae_unc_b|e112a23ce56c01b73dbff78b436aff47	
60			Nocardioides|ef65c0ed3e088d8c2042c3831d0fb70b	
61			Micavibrionales_unc|798e6c432fa3ede93b15e6d269a2c468	
62			Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7	
63			Pseudomonas|911f6d382b71b85c20fd2919cfd2c286	
64			Microbacterium|43a086e5d89b75b869c57f2fe87f59be	
65			Pseudomonas|84ffc06061f3fb5da32d607cd2e2f5da	
