	Soil_All	Soil_Unique	Root_All	Root_Unique	Gall_All	Gall_Unique	J2_All	J2_Unique
0	32	10	54	14	43	9	30	14
1	80	51	46	6	31	4	23	11
2	69	22	73	7	97	22	46	22
3	105	73	49	5	53	5	26	13
