	Soil_All	Soil_Unique	Root_All	Root_Unique	Gall_All	Gall_Unique	J2_All	J2_Unique
0	['Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab', 'Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7', 'Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370', 'WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996', 'WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3', 'Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0', 'Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80', 'Microvirga_unc|2eff6ed74640be08e55c3ea6cba3abd7', 'Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818', 'Microscillaceae_unc|def5911a0e059401a8050a572714f463', 'Gitt-GS-136_unc_b|bd2a0a2f17375475be26d12fdae3fb58', 'Novibacillus|c7f946841f839ebcd1611fc97b12235a', 'WD2101_soil_group_unc_b|28358f65c8e72e2cdda9f72474e7c17c', 'Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296', 'Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d']	['WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3', 'Novibacillus|c7f946841f839ebcd1611fc97b12235a', 'WD2101_soil_group_unc_b|28358f65c8e72e2cdda9f72474e7c17c', 'Microvirga_unc|2eff6ed74640be08e55c3ea6cba3abd7', 'Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d', 'Gitt-GS-136_unc_b|bd2a0a2f17375475be26d12fdae3fb58']	['Sphingobium|a3378306aac4ba125d41130ee38e1346', 'Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2', 'Devosia|60335b6aab52d95cb75a6618b704ddf1', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9', 'Sphingobium|6f61f10851c21790134347c18c6f9fb6', 'Streptomyces|6ed881b86eee1bcc88c8436f378cc691', 'Ensifer_meliloti|dda400cba713e16f0324d82bca281d50', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e', 'Devosia|674e0277eaf979d68dfc9bb4598d7eae', 'Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|a7ff3454cc6e99d78a0c2c74ccef8c45', 'Microbacterium|44b455328f8b68f74b8d28838683f864', 'Microbacterium|43a086e5d89b75b869c57f2fe87f59be', 'Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb', 'Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370', 'Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb', 'Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296', 'Microvirga|5e392f3a9e82a31546db60a2c854c787', 'Ensifer|f5c016c639225b7c7877ecb317a56aab', 'Bosea|f28f8fcec22da6f352e557172e5416b8', 'Chthonobacter|3f0a2c3bddfabc7d266167a586b60d08', 'Novosphingobium|6d1755b27b10f40edec2927ab4dcc8b2', 'Flavisolibacter_unc_b|fe2d975fab345de2fbef917b9cc91539', 'Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7', 'Devosia|602b60f76ef7cf2a8f321cce92406201', 'Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818', 'Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab', 'Devosia|56878dbd0964aa19821c04871a210752', 'Sphingomonas|61ca3570edbd0f1eb6ff3e8ca099f994', 'Candidatus_Chloroploca_unc_b|a0e87a294838dc2bb0c0dc96dee05511', 'Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a', 'Flavisolibacter|520f26bee0bc1c4a0783510d4cf9dbd7', 'Flavisolibacter_unc_b|41024a091d4fa6bbf95960b9095853b1', 'Microscillaceae_unc|def5911a0e059401a8050a572714f463', 'Microvirga|1efcf894789c2bdab5b97030185be003', 'Inhella_unc_b|62f384da9557c56c26d883fdac5897db', 'WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996', 'Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3']	['Ensifer|f5c016c639225b7c7877ecb317a56aab', 'Bosea|f28f8fcec22da6f352e557172e5416b8', 'Microvirga|5e392f3a9e82a31546db60a2c854c787', 'Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb', 'Flavisolibacter|520f26bee0bc1c4a0783510d4cf9dbd7', 'Novosphingobium|6d1755b27b10f40edec2927ab4dcc8b2', 'Candidatus_Chloroploca_unc_b|a0e87a294838dc2bb0c0dc96dee05511', 'Inhella_unc_b|62f384da9557c56c26d883fdac5897db', 'Sphingomonas|61ca3570edbd0f1eb6ff3e8ca099f994', 'Devosia|674e0277eaf979d68dfc9bb4598d7eae', 'Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d', 'Microvirga|1efcf894789c2bdab5b97030185be003', 'Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3', 'Devosia|602b60f76ef7cf2a8f321cce92406201']	['Sphingobium|a3378306aac4ba125d41130ee38e1346', 'Devosia|60335b6aab52d95cb75a6618b704ddf1', 'Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2', 'Sphingobium|6f61f10851c21790134347c18c6f9fb6', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a', 'Ensifer_meliloti|dda400cba713e16f0324d82bca281d50', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e', 'Streptomyces|6ed881b86eee1bcc88c8436f378cc691', 'Microbacterium|44b455328f8b68f74b8d28838683f864', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be', 'Microbacterium|43a086e5d89b75b869c57f2fe87f59be', 'Devosia|80244e173fac90d77f16f831b9f89095', 'Streptomyces|f03c4b8a7bf82aa40b91dccfef025987', 'Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370', 'Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|a7ff3454cc6e99d78a0c2c74ccef8c45', 'Methylophilus_unc_b|e5d2283d103155c3ad73514a2388f31e', 'Flavisolibacter_unc_b|fe2d975fab345de2fbef917b9cc91539', 'Chthonobacter|3f0a2c3bddfabc7d266167a586b60d08', 'Nocardioides|8a2ba21fcd0f42b109f74d8f660434ff', 'Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7', 'Devosia|56878dbd0964aa19821c04871a210752', 'SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb', 'Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab', 'Ramlibacter|60e7f5052c39cb8b4c5469245ad9677a', 'Rubellimicrobium_unc_b|f1dd46e7d629110d5e78aa8993cbf75e', 'Rhodobacteraceae_unc|e986217168765e3a2d5bea721a9816b5', 'Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0', 'Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818', 'Nocardioides|54c9c8c84d439c48c6ba94cbee2e05be', 'Flavisolibacter_unc_b|41024a091d4fa6bbf95960b9095853b1', 'Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80']	['Nocardioides|54c9c8c84d439c48c6ba94cbee2e05be', 'Ramlibacter|60e7f5052c39cb8b4c5469245ad9677a', 'Rubellimicrobium_unc_b|f1dd46e7d629110d5e78aa8993cbf75e', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be', 'Methylophilus_unc_b|e5d2283d103155c3ad73514a2388f31e', 'Rhodobacteraceae_unc|e986217168765e3a2d5bea721a9816b5', 'Streptomyces|f03c4b8a7bf82aa40b91dccfef025987', 'Nocardioides|8a2ba21fcd0f42b109f74d8f660434ff', 'SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb', 'Devosia|80244e173fac90d77f16f831b9f89095']	['Hydrogenophaga|0107fc0b59d6962f7ad0eb938145ddf7', 'Acidovorax_delafieldii|2a788af2af3bdabacd69ef5e72eb5bf9', 'Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7', 'Caulobacter|1bba83fcbb4abd74aeb3633c517a2dcb', 'Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a', 'Sphingobium|a3378306aac4ba125d41130ee38e1346', 'Rheinheimera|60163b83acafd8e916fd116cade276b1', 'Phenylobacterium|2844083decc0cc24a6229d88c4544c94', 'Hydrogenophaga|8b7c290ee394c9fa10e4c6413906b29d', 'Hydrogenophaga|48ae75adeac6435dfc4b4f875d67a50d', 'Sphingobium|6f61f10851c21790134347c18c6f9fb6', 'Pedobacter_glucosidilyticus|c2690d110f736b1e57ac9b6e6c45c758', 'Pseudomonas|61f58776431599f1f2d0d82c5016af86', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|4afb1dd8fd233dcf466d045c65bf73dd', 'Ramlibacter|677e5043be285a2ede58f6c08adb4735', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e', 'Limnobacter_unc|163af248828cb0d642c647a560299cfb', 'Seohaeicola|ea06282cd893f6fd8a60d5d99aeae742', 'Gemmobacter_unc_b|69ca2e971da19b1de9256d9070ff109e', 'Hydrogenophaga|c33be7aaba9d3e79aa1dd182a587eaaf', 'Actinotalea_unc_b|733cb5d4a05ab90fd739931e0da04eb3', 'Limnobacter|2932755875c039ee52bb318380db4d3b', 'Rhodobacter|06c8b7f96b056e9483c3a51d1d3ef1ad', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9', 'Hydrogenophaga|785382587c28ba2630e239b763204cc8', 'Phenylobacterium|12b2400b8196660093701d1cd2e98f18', 'Pseudoxanthomonas_mexicana|0bb379edb1724134dc46abcaefcffbfd', 'Ensifer_meliloti|dda400cba713e16f0324d82bca281d50', 'Pseudomonas|cbdeb0c5683b2b7e95b3cc46f3199be3', 'Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2', 'Chthoniobacter_unc_b|76eaeaeeea9c0a773658a8b83191b9c7', 'Chitinophagaceae_unc|150652c15e2afae183121c6c5324a6b8', 'Pseudomonas|85fa26d02bd165db67fb00e9257246ac']	['Actinotalea_unc_b|733cb5d4a05ab90fd739931e0da04eb3', 'Caulobacter|1bba83fcbb4abd74aeb3633c517a2dcb', 'Pedobacter_glucosidilyticus|c2690d110f736b1e57ac9b6e6c45c758', 'Pseudoxanthomonas_mexicana|0bb379edb1724134dc46abcaefcffbfd', 'Ramlibacter|677e5043be285a2ede58f6c08adb4735', 'Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7', 'Acidovorax_delafieldii|2a788af2af3bdabacd69ef5e72eb5bf9', 'Hydrogenophaga|48ae75adeac6435dfc4b4f875d67a50d', 'Rhodobacter|06c8b7f96b056e9483c3a51d1d3ef1ad', 'Gemmobacter_unc_b|69ca2e971da19b1de9256d9070ff109e', 'Phenylobacterium|12b2400b8196660093701d1cd2e98f18', 'Hydrogenophaga|8b7c290ee394c9fa10e4c6413906b29d', 'Chthoniobacter_unc_b|76eaeaeeea9c0a773658a8b83191b9c7', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|4afb1dd8fd233dcf466d045c65bf73dd', 'Seohaeicola|ea06282cd893f6fd8a60d5d99aeae742', 'Limnobacter|2932755875c039ee52bb318380db4d3b', 'Hydrogenophaga|c33be7aaba9d3e79aa1dd182a587eaaf', 'Hydrogenophaga|785382587c28ba2630e239b763204cc8', 'Limnobacter_unc|163af248828cb0d642c647a560299cfb', 'Pseudomonas|85fa26d02bd165db67fb00e9257246ac', 'Pseudomonas|cbdeb0c5683b2b7e95b3cc46f3199be3', 'Hydrogenophaga|0107fc0b59d6962f7ad0eb938145ddf7', 'Rheinheimera|60163b83acafd8e916fd116cade276b1', 'Phenylobacterium|2844083decc0cc24a6229d88c4544c94', 'Pseudomonas|61f58776431599f1f2d0d82c5016af86', 'Chitinophagaceae_unc|150652c15e2afae183121c6c5324a6b8']
1	['Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab', 'Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7', 'Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370', 'WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3', 'Sphingobium|a3378306aac4ba125d41130ee38e1346', 'Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb', 'WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996', 'WD2101_soil_group_unc_b|1ad783c64224c6e09831643e1418f791', 'Microvirga|5e392f3a9e82a31546db60a2c854c787', 'Lysinibacillus|ebf9aff6ca6a9de7991f40ac6bb4544d', 'Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80', 'Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0', 'Bacillus|6c1d0b2d87f960888e9c941f0c2729d0', 'Gemmatimonadaceae_unc|9711022edecd95bced9db70b23a70ec3', 'Streptomyces|273c74cb7bc09081d56968162e226072', 'Gitt-GS-136_unc_b|bd2a0a2f17375475be26d12fdae3fb58', 'Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3', 'Gemmatimonadaceae_unc|0cc7626bf6a75cf9b9f3d77e9f805c47', 'Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818', 'Caldilineaceae_unc|297fc9c7148e0a3a72bb95633987bf32', 'Sphingomonas|68c87174914f4e862b63f90e6089e870', 'AKYG1722_unc|011758093a7bd3018672cd3e3966d063', 'WD2101_soil_group_unc_b|28358f65c8e72e2cdda9f72474e7c17c', 'SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb', 'RB41_unc|0264b6b8b228b5b410b49f98cda946b6', 'Litorilinea_unc_b|2c17488bd2453f204e1be5a8edb9a941', 'Dadabacteriales_unc_b|84d2400c5bd4485851e3abddfab855d7', 'Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d', 'KD4-96_unc_b|5dfbdd48b01be20aab663fa80fbb445f', 'Bacillus|98fd5b7f45ff80423a276dd6851a7a75', 'MB-A2-108_unc_b|9e864acc66ebaba7644126a5defea88b', 'Ramlibacter|508d19e896a0a685d33e3499b817161e', 'OLB14_unc_b|27ee4077e6a697c3ee9af1bfd88ac957', 'Microvirga|1efcf894789c2bdab5b97030185be003', 'Nitrosococcus_halophilus|cca59eefe859bc44e303eba843bc67ec', '11-24_unc_b|067a03ae8560593c76ed566f6bc053ef', 'Chelativorans|395005bf8a3675a78932ecf2cbf7e924', 'Subgroup_25_unc_b|365c9f168c1c9900ae3179c11bdfe348', 'Novibacillus|c7f946841f839ebcd1611fc97b12235a', 'bacteriap25_unc|fc6a8044ddf059b4ad7ae72bead10b2b', 'Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296', 'Alphaproteobacteria_unc|e077c5b4f0b185efbe8892f66b2758ae', 'Devosiaceae_unc_b|1552b034cec273dc5a25c252d9cb260f', 'Chlorogloeopsis_fritschii_PCC_6912|6fa6ed07fef658bab82f44cbac14ff73', 'Ardenticatenales_unc|81a9eccbc891234a2a47a69bb6054636']	['KD4-96_unc_b|5dfbdd48b01be20aab663fa80fbb445f', 'Ramlibacter|508d19e896a0a685d33e3499b817161e', 'Devosiaceae_unc_b|1552b034cec273dc5a25c252d9cb260f', 'WD2101_soil_group_unc_b|be777b260f8128d47e87f9a2653ab8b3', 'Subgroup_25_unc_b|365c9f168c1c9900ae3179c11bdfe348', 'Nitrosococcus_halophilus|cca59eefe859bc44e303eba843bc67ec', 'RB41_unc|0264b6b8b228b5b410b49f98cda946b6', 'WD2101_soil_group_unc_b|28358f65c8e72e2cdda9f72474e7c17c', 'Streptomyces|273c74cb7bc09081d56968162e226072', 'Gemmatimonadaceae_unc|9711022edecd95bced9db70b23a70ec3', 'WD2101_soil_group_unc_b|2ff7a02b5065a111874a706ef7a6a996', 'Dadabacteriales_unc_b|84d2400c5bd4485851e3abddfab855d7', 'Litorilinea_unc_b|2c17488bd2453f204e1be5a8edb9a941', 'Gitt-GS-136_unc_b|bd2a0a2f17375475be26d12fdae3fb58', 'Bacillus_vireti|f15163d49ce9f54ef3aea99ce08b13bb', 'bacteriap25_unc|fc6a8044ddf059b4ad7ae72bead10b2b', 'Sphingomonas|27b86bff4c4545c5d5ceebc34d8c8370', 'Chelativorans|395005bf8a3675a78932ecf2cbf7e924', 'WD2101_soil_group_unc_b|1ad783c64224c6e09831643e1418f791', 'Gemmatimonadaceae_unc|0cc7626bf6a75cf9b9f3d77e9f805c47', 'OLB14_unc_b|27ee4077e6a697c3ee9af1bfd88ac957', 'Sphingomonas|68c87174914f4e862b63f90e6089e870', 'MB-A2-108_unc_b|9e864acc66ebaba7644126a5defea88b', 'Caldilineaceae_unc|297fc9c7148e0a3a72bb95633987bf32', 'Ardenticatenales_unc|81a9eccbc891234a2a47a69bb6054636', 'AKYG1722_unc|011758093a7bd3018672cd3e3966d063', 'Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d', 'Alphaproteobacteria_unc|e077c5b4f0b185efbe8892f66b2758ae', 'Microvirga|1efcf894789c2bdab5b97030185be003', '11-24_unc_b|067a03ae8560593c76ed566f6bc053ef', 'Chlorogloeopsis_fritschii_PCC_6912|6fa6ed07fef658bab82f44cbac14ff73', 'Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296', 'Roseiflexaceae_unc|3918dfe70527f8d181f962ffc2d0ebe3', 'Caldilineaceae_unc|6cbfa68dd86137b2892c28eedc0a63a0']	['Sphingobium|a3378306aac4ba125d41130ee38e1346', 'Sphingobium|6f61f10851c21790134347c18c6f9fb6', 'Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2', 'Devosia|60335b6aab52d95cb75a6618b704ddf1', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a', 'Novosphingobium|6d1755b27b10f40edec2927ab4dcc8b2', 'Ensifer_meliloti|dda400cba713e16f0324d82bca281d50', 'Microbacterium|43a086e5d89b75b869c57f2fe87f59be', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e', 'Rhodocyclaceae_unc|542ab4550e60f82ef904b556edba50b6', 'SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb', 'Devosia|4bbfa312497c237d44f4cfed8fae2e07', 'Sphingomonas|74906b903a2159782726129669905350', 'Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a', 'Bacillus|98fd5b7f45ff80423a276dd6851a7a75', 'Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb', 'Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7', 'Bacillus|4048703214e81d8926d019b544e5fd45', 'Bacillus|c2b81fd480d98dc790e88254603f193e', 'Ammoniphilus_unc_b|fda19c385057bf72bc701b6887493818', 'Bacillus|a205e9a5ca3f4133d4f01e8a4fd5bd2b', 'Streptomyces|f03c4b8a7bf82aa40b91dccfef025987', 'D05-2_unc_b|52f2f356b67f2388990f61e80c06da88', 'Devosia|80244e173fac90d77f16f831b9f89095', 'Bacillus|6c1d0b2d87f960888e9c941f0c2729d0', 'Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab', 'Lysinibacillus|ebf9aff6ca6a9de7991f40ac6bb4544d', 'Caldilineaceae_unc|a40eccf88acc0c1ac906442201569d80', 'Chthonobacter|3f0a2c3bddfabc7d266167a586b60d08', 'Chthoniobacter_unc_b|76eaeaeeea9c0a773658a8b83191b9c7', 'Rhodobacteraceae_unc|e986217168765e3a2d5bea721a9816b5', 'Novibacillus|c7f946841f839ebcd1611fc97b12235a']	['Devosia|4bbfa312497c237d44f4cfed8fae2e07', 'D05-2_unc_b|52f2f356b67f2388990f61e80c06da88', 'Novosphingobium|6d1755b27b10f40edec2927ab4dcc8b2', 'Bacillus|a205e9a5ca3f4133d4f01e8a4fd5bd2b', 'Chthoniobacter_unc_b|76eaeaeeea9c0a773658a8b83191b9c7', 'Streptomyces|f03c4b8a7bf82aa40b91dccfef025987', 'Chthonobacter|3f0a2c3bddfabc7d266167a586b60d08']	['Sphingobium|a3378306aac4ba125d41130ee38e1346', 'Sphingobium|6f61f10851c21790134347c18c6f9fb6', 'Devosia|60335b6aab52d95cb75a6618b704ddf1', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|df17a2465c5eb03f8af51b3cf0c8640a', 'Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2', 'Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9', 'Ensifer_meliloti|dda400cba713e16f0324d82bca281d50', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e', 'Microbacterium|44b455328f8b68f74b8d28838683f864', 'Microbacterium|43a086e5d89b75b869c57f2fe87f59be', 'SH-PL14_unc_b|d658c657ce6713d02e15b4e43fa9f2cb', 'Devosia|80244e173fac90d77f16f831b9f89095', 'Sphingomonas|74906b903a2159782726129669905350', 'Bacillus_niabensis|09ff0fac7e9e2d88e30d7b72e505609f', 'Bacillus|c2b81fd480d98dc790e88254603f193e', 'Roseimicrobium_gellanilyticum|1368204831e08f36d8130c9c63fa04ab', 'Ardenticatenaceae_unc|033406f6b7f62f8859b09b8e9a4e88e7', 'Bacillus|4048703214e81d8926d019b544e5fd45', 'Roseiflexaceae_unc|32381e339eaeef256c0ffbac607639ab', 'Nocardioides|8a2ba21fcd0f42b109f74d8f660434ff', 'Rhodobacteraceae_unc|e986217168765e3a2d5bea721a9816b5']	['Microbacterium|44b455328f8b68f74b8d28838683f864', 'Luteolibacter|2a4f3fa50fd248aa076814f2f464c13d', 'Bacillus_niabensis|09ff0fac7e9e2d88e30d7b72e505609f', 'Roseimicrobium_gellanilyticum|1368204831e08f36d8130c9c63fa04ab', 'Nocardioides|8a2ba21fcd0f42b109f74d8f660434ff']	['Pseudomonas|1422b36fc3008e0a41f108d963ac41c9', 'Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7', 'Cellvibrio|55a187da9c83e389e07303b7f2838986', 'Acidovorax_delafieldii|2a788af2af3bdabacd69ef5e72eb5bf9', 'Rheinheimera|60163b83acafd8e916fd116cade276b1', 'Hydrogenophaga|0107fc0b59d6962f7ad0eb938145ddf7', 'Flavobacterium|bf571cf04559c8cdddfdb4e1aad49bc2', 'Cellvibrio_unc_b|c50cd3a667229dbb00a0ed44f40190fb', 'Pseudomonas|3c7baf6883b1e123f731381ea331639f', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|4afb1dd8fd233dcf466d045c65bf73dd', 'Rheinheimera|6db471c35a6b677cab2944bd6a2664e9', 'Pseudomonas|cbdeb0c5683b2b7e95b3cc46f3199be3', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|2462a3af6abc07f465314d7d189ea6a9', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|33b9d83d162e259ea83d703849c6e52e', 'Acidovorax|5e97870415986be8b5a1beccbdf3f369', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be', 'Flavobacterium_succinicans|2eca7bc4870df7ced18f5390429229bf', 'Massilia|07d03c75b5a82eac6a065e21125a0a1d', 'Algoriphagus|a2bcd78b0a9be0f6530daa116a50219a', 'Methylophilus_unc|bc6d9203bd5faf8e574b57257ca749f2', 'Limnobacter_unc|163af248828cb0d642c647a560299cfb', 'Devosia|60335b6aab52d95cb75a6618b704ddf1', 'Microvirga_unc|6a02e7f4d608e40ba87b624f3737b81e', 'Pedobacter_glucosidilyticus|c2690d110f736b1e57ac9b6e6c45c758', 'Microvirga|5e392f3a9e82a31546db60a2c854c787', 'Methylophilus_unc_b|e5d2283d103155c3ad73514a2388f31e', 'Rhodocyclaceae_unc|542ab4550e60f82ef904b556edba50b6']	['Acidovorax|5e97870415986be8b5a1beccbdf3f369', 'Pedobacter_glucosidilyticus|c2690d110f736b1e57ac9b6e6c45c758', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|4afb1dd8fd233dcf466d045c65bf73dd', 'Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium|cbf8930fe19434d51a170a71f31039be', 'Methylophilus_unc_b|e5d2283d103155c3ad73514a2388f31e', 'Flavobacterium|bf571cf04559c8cdddfdb4e1aad49bc2', 'Pseudomonas|1422b36fc3008e0a41f108d963ac41c9', 'Pseudomonas|870f0dc4f43db4b81df8997ffa4ecad7', 'Acidovorax_delafieldii|2a788af2af3bdabacd69ef5e72eb5bf9', 'Limnobacter_unc|163af248828cb0d642c647a560299cfb', 'Pseudomonas|3c7baf6883b1e123f731381ea331639f', 'Flavobacterium_succinicans|2eca7bc4870df7ced18f5390429229bf', 'Cellvibrio|55a187da9c83e389e07303b7f2838986', 'Pseudomonas|cbdeb0c5683b2b7e95b3cc46f3199be3', 'Rheinheimera|6db471c35a6b677cab2944bd6a2664e9', 'Massilia|07d03c75b5a82eac6a065e21125a0a1d', 'Hydrogenophaga|0107fc0b59d6962f7ad0eb938145ddf7', 'Rheinheimera|60163b83acafd8e916fd116cade276b1', 'Microvirga_unc|6a02e7f4d608e40ba87b624f3737b81e']
