	S_2	S_3	S_4	S_6
35		KD4-96_unc_b|5dfbdd48b01be20aab663fa80fbb445f	MB-A2-108_unc_b|9e864acc66ebaba7644126a5defea88b	KD4-96|26bcf12d54e847aa9139c5e5066a57b8
36		Bacillus|98fd5b7f45ff80423a276dd6851a7a75	JG30-KF-CM45|e9591a20388256e5731e68402e77ddec	Alphaproteobacteria_unc|744354e836e0dc65c10560c76f67bad3
37		MB-A2-108_unc_b|9e864acc66ebaba7644126a5defea88b	Geminicoccaceae_unc|82c5ed1c83e827e0922b95fda2d09b3d	Dongia|206abb8c709bd46d9b1760581ea945f3
38		JG30-KF-CM45|286c55f36b885e2c18eaa927d75593aa	MBNT15_unc|49e46007e9c71d76427971d014e9b968	AKYG1722_unc|011758093a7bd3018672cd3e3966d063
39		Ramlibacter|508d19e896a0a685d33e3499b817161e	JG30-KF-CM45_unc_b|a2a14719365a147e9ed40964d5593603	Rokubacteriales_unc_b|d076733eac16e39f795b88c4e7e58480
40		OLB14_unc_b|27ee4077e6a697c3ee9af1bfd88ac957	Gemmatimonadaceae|5db759e2c5de3701f6dae72bce6f845a	MB-A2-108_unc_b|9e864acc66ebaba7644126a5defea88b
41		Alphaproteobacteria_unc|c9ce00ce9d427cb6d0b6dbaa5200a69e	Flavisolibacter_unc_b|fe2d975fab345de2fbef917b9cc91539	Rhodopirellula_unc|9e5542acbb1c695dd2706f4af589f544
42		Microvirga|1efcf894789c2bdab5b97030185be003	Rhodobacteraceae_unc|e986217168765e3a2d5bea721a9816b5	metagenome|9c611a3adc7a6755d687e42b7ff2600a
43		Nitrosococcus_halophilus|cca59eefe859bc44e303eba843bc67ec	Dadabacteriales_unc_b|84d2400c5bd4485851e3abddfab855d7	Sphingomonas|68c87174914f4e862b63f90e6089e870
44		11-24_unc_b|067a03ae8560593c76ed566f6bc053ef	JG30-KF-CM45|286c55f36b885e2c18eaa927d75593aa	Actinomarinales_unc|a332c7a02ed33a9c0eb346f79c54d1d9
45		Chelativorans|395005bf8a3675a78932ecf2cbf7e924		Deltaproteobacteria|68c440b957953fe18a5a54d0798b5450
46		Subgroup_25_unc_b|365c9f168c1c9900ae3179c11bdfe348		S0134_terrestrial_group_unc|e757d8715330109078cd7e638a558fd8
47		Nostocaceae|903436330e2d78aeb427ddddbd0a8ba1		Pir4_lineage_unc|80e773ca7bcfe0c384d0225d7f6b65c9
48		Novibacillus|c7f946841f839ebcd1611fc97b12235a		Dadabacteriales_unc_b|84d2400c5bd4485851e3abddfab855d7
49		bacteriap25_unc|fc6a8044ddf059b4ad7ae72bead10b2b		bacteriap25_unc|fc6a8044ddf059b4ad7ae72bead10b2b
50		Stenotrophobacter|7b52cfbdcb4cbece82a58e5feec2e296		MND1|eb2977e84e11b12c72d2e990228bcd79
51		Alphaproteobacteria_unc|e077c5b4f0b185efbe8892f66b2758ae		Ardenticatenales_unc|02a0ff569c703ea40060624a227f8830
52		Devosiaceae_unc_b|1552b034cec273dc5a25c252d9cb260f		IMCC26256|590913c7725b119b17a83dbc04fe2b2a
53		Chlorogloeopsis_fritschii_PCC_6912|6fa6ed07fef658bab82f44cbac14ff73		Ardenticatenales_unc|81a9eccbc891234a2a47a69bb6054636
54		Ardenticatenales_unc|81a9eccbc891234a2a47a69bb6054636		Streptomyces|f03c4b8a7bf82aa40b91dccfef025987
55				Subgroup_25_unc_b|365c9f168c1c9900ae3179c11bdfe348
56				TRA3-20|b73b989763c78ae9767b7ff50367fbb8
57				Gemmatimonas_unc_b|7fe02becc35e2d955deaf07676c91d70
58				Gemmataceae_unc|67d232a16a9015036f5500d09b723b67
59				Pirellula_unc|3497fa5c087610425fdece3735ce062c
60				Opitutus_unc_b|c5a751f97eaa6fa222da6315d4d31b18
61				UTCFX1_unc|6908ea815fdd5da7eef1e21ea1dbfb0e
62				Nitrospira_unc|083a2af76c639d160cd4edb1d286bf52
63				OLB14_unc_b|a2d6dca908c7917d432dc4c5838333c4
64				AKYG1722_unc|1fa135c1eebf02c0643b7ec3c871c9cc
65				RBG-13-54-9_unc|495377df929f1a76e129e6aa6fa2e54d
