	Soil_All	Soil_Unique	Root_All	Root_Unique	Gall_All	Gall_Unique	J2_All	J2_Unique
0	40	14	59	14	50	11	32	15
1	100	66	53	7	36	4	25	11
2	89	28	88	7	117	25	52	24
3	133	95	56	7	61	7	27	13
