Sample ID
AS1179R
AS1138R
AS1177R
AS1182R
AS1178R
AS1284R
AS1236R
AS1281R
AS1279R
AS1235R
AS1237R
AS1403R
AS1404R
AS1402R
AS1353R
AS1397R
AS1591R
AS1560R
AS1177G
AS1238G
AS1267G
AS1404G
AS1633G
AS1042
AS1105
AS1174
AS1324R
AS1323R
AS1440R
AS1436S
AS1162
AS1256
AS1380
AS1387
AS1520
AS1538
AS1530
